0,Dumb & Dumber,COMEDY,1994,R,ANIMALS
1,Dolemite Is My Name,COMEDY,2019,R,FOOD
2,The Other Guys,COMEDY,2010,R,SPORTS
3,Just Go for It,COMEDY,2011,PG_13,ANIMALS
4,Her,COMEDY,2013,R,SPORTS
5,Eurovision Song Contact : The Story of Fire Saga,COMEDY,2020,PG_13,NATURE
6,Lady Bird,COMEDY,2017,R,FOOD
7,THe Fundamentals of Caring,COMEDY,2016,R,NATURE
8,The Mitchell vs. the Machines,COMEDY,2021,PG,NATURE
9,Mindhorn,COMEDY,2016,R,ANIMALS
10,Leon: the Professional,ACTION,1994,R,NATURE
11,Rambo,ACTION,2008,R,SPORTS
12,The Amazing Spiderman,ACTION,2012,PG_13,FOOD
13,Mission : Impossible,ACTION,1996,PG_13,FOOD
14,war Of worlds,ACTION,2005,PG_13,ANIMALS
15,Army of the Dead,ACTION,2021,R,SPORTS
16,Extraction,ACTION,2020,R,SPORTS
17,The Sleepover,ACTION,2020,PG,ANIMALS
18,Project power,ACTION,2020,R,SPORTS
19,The Last samurai,ACTION,2003,R,FOOD
20,To All the Boys I've Lover Before,ROMANCE,2018,PG_13,NATURE
21,My Fair Lady,ROMANCE,1964,G,LOVE
22,When Harry Met sally,ROMANCE,1989,R,LOVE
23,Silver Linings Playbook,ROMANCE,2012,R,SPORTS
24,A Perfect Pairing,ROMANCE,2022,PG_13,ANIMALS
25,Sat It Up,ROMANCE,2018,PG_13,LOVE
26,Always Be My Baby,ROMANCE,2019,G,LOVE
27,You' ve Got Mail,ROMANCE,1998,PG,SPORTS
28,Phantom Thread,ROMANCE,2017,R,LOVE
29,She' s gotta Have It,ROMANCE,1986,R,FOOD
30,His House,HORROR,2020,PG_13,SPORTS
31,Creep I,HORROR,2004,R,SPORTS
32,Under The Shadow,HORROR,2016,PG_13,ANIMALS
33,Jaws,HORROR,1975,G,NATURE
34,The Old Ways,HORROR,2021,R,NATURE
35,Pan's Labyrinth,HORROR,2006,R,FOOD
36,Sweetheart,HORROR,2019,PG_13,LOVE
37,The conjuring,HORROR,2013,R,SPORTS
38,Hush,HORROR,2016,R,NATURE
39,Gerald's Game,HORROR,2017,R,FOOD
40,Rebecca,HORROR,2020,PG_13,SPORTS
41,Purple Hearts,DRAMA,2022,PG_13,SPORTS
42,Beauty,DRAMA,2022,G,ANIMALS
43,Hustle,DRAMA,2022,R,ANIMALS
44,Sorry to Bother You,DRAMA,2018,R,ANIMALS
45,Okja,DRAMA,2017,R,LOVE
46,I'm Thinking of Ending Things,DRAMA,2020,R,LOVE
47,Operation Mincemeat,DRAMA,2021,PG_13,SPORTS
48,The Hall of It,DRAMA,2020,R,LOVE
49,The King,DRAMA,2019,R,ANIMALS
50,Blade Runner,SCIENCE_FICTION,1982,R,NATURE
51,Sorry to Bother You,SCIENCE_FICTION,2018,R,NATURE
52, Blade Runner 2049,SCIENCE_FICTION,2017,PG_13,NATURE
53,Gattaca ,SCIENCE_FICTION,1997,PG_13,ANIMALS
54,Contagion,SCIENCE_FICTION,2011,R,LOVE
55,Starship troopers,SCIENCE_FICTION,1997,PG_13,LOVE
56,Oxygen,SCIENCE_FICTION,2021,PG_13,SPORTS
57,The Midnight Sky,SCIENCE_FICTION,2020,R,SPORTS
58,The old Guard,SCIENCE_FICTION,2020,R,LOVE
